,FileID,paragraphCount,Readability,male,female,TypeTokenRatio,sentimentpos,sentimentneg,sentimentneu,Names,Setting,tensefuture,tensepast,tensepresent,Coordinatingconjunction,PersonalPronoun,PossessivePronoun,Genre
0,0,253.55556,50.16729,35,7,21.57921,0.12367,0.082,0.79467,112,662.33333,155.22222,927.88889,476.33333,329.44444,1027.11111,170.22222,Detective and Mystery
1,1,89,39.53472,4,2,25.32,0.136,0.09933,0.76433,21,245.66667,164,970.33333,349.33333,278.66667,921,243.66667,Literary
2,2,194.94444,47.30666,35,23,23.67749,0.15883,0.09183,0.74922,143,505.77778,155.61111,856.22222,473.88889,404,981.44444,283.33333,Literary
3,3,302.81818,52.76288,46,14,23.58517,0.10318,0.07064,0.82609,181,843.63636,146.54545,830.63636,532.18182,283.54545,908.90909,166.36364,Western Stories
4,4,157,42.07395,1,2,20.32561,0.136,0.11333,0.751,12,239.33333,122.66667,829.66667,369,363,752,254.66667,Literary
5,5,62.75,32.0987,42,22,30.83481,0.17225,0.0755,0.752,139,154,138.5,606,448.75,356.75,600.25,205,Literary
6,6,250.2,47.35797,13,8,22.86,0.0756,0.0714,0.853,69,594.6,120.8,913.4,410.2,285.4,779,196.8,Detective and Mystery
7,7,289.66667,56.64288,129,65,25.37348,0.11989,0.04656,0.83367,341,1017.22222,96.88889,1019,450.22222,280.44444,865.77778,190.88889,Literary
8,8,301.75,56.98062,64,38,23.71444,0.13587,0.05237,0.81187,212,947.5,114.875,1025.875,444.625,283.125,950.375,208.75,Literary
9,9,327.66667,55.86718,33,36,19.74158,0.12,0.11244,0.76744,155,854.77778,230.11111,810.88889,562.11111,280.33333,1095.88889,175.88889,Literary
10,10,107.8,32.09494,23,23,23.79585,0.1087,0.1012,0.7901,81,351.5,151.1,922.5,438.1,371.5,763.8,311.1,Literary
11,11,253.92308,54.41505,21,10,23.04681,0.146,0.09415,0.75985,75,622.07692,141.69231,908.38462,536.30769,274.38462,1187.15385,268.61538,Literary
12,12,200.55556,45.63803,16,12,21.31092,0.113,0.08022,0.80689,76,455.55556,130.33333,1004.88889,400.77778,297.88889,867.44444,195.66667,Literary
13,13,138.14286,47.41459,47,23,27.46209,0.126,0.07693,0.79714,189,405.92857,112.64286,922.85714,356.07143,345.57143,645.78571,225.57143,Literary
14,14,122.90909,38.81644,46,24,31.54947,0.12218,0.06864,0.80909,153,301.45455,125.81818,753.54545,399.90909,277.54545,560.45455,285.36364,Literary
15,15,61.5,32.45149,1,1,22.17,0.1045,0.0525,0.843,5,183,133,977.5,260,318.5,853.5,266,Ghost and Horror
16,16,106.33333,39.22947,6,2,27.475,0.165,0.05767,0.77767,24,281.33333,144.66667,1025.66667,354,240.66667,980.33333,275,Literary
17,17,122,43.47472,11,2,18.14463,0.07,0.03,0.901,33,271,93,915,389,326,542,201,Literary
18,18,218,44.3886,24,22,20.29098,0.17136,0.10236,0.72636,116,533,213.81818,945,367.36364,271.27273,1077.72727,318.36364,Literary
19,19,268.11111,57.34251,83,22,24.62609,0.11756,0.09189,0.79044,206,718.66667,119.22222,825.33333,455.55556,321.11111,753.66667,192.11111,Literary
20,20,147.3,42.77778,53,9,24.83235,0.0814,0.0876,0.83125,171,420.1,109.2,899.05,309.2,291.25,674.45,203.05,Detective and Mystery
21,21,202.33333,54.08119,15,10,25.245,0.07767,0.08167,0.84067,56,60.66667,133.66667,922.66667,318.66667,367,769,262.66667,Literary
22,22,181.68421,42.78597,64,36,24.54801,0.14168,0.07958,0.77884,197,547.78947,165.36842,915.78947,414.94737,390.10526,855.31579,267.63158,Literary
23,23,198.09091,41.32502,26,15,27.36097,0.125,0.09182,0.78318,102,569.90909,140.45455,336.81818,913.81818,309.45455,962.45455,260.90909,Literary
24,24,234.92857,55.22938,17,10,23.1094,0.12993,0.09629,0.77386,61,496.85714,148.92857,1028.92857,421.35714,277,1155.07143,303.5,Literary
25,25,174.46154,43.67814,51,37,24.0251,0.13292,0.08677,0.78023,189,441.15385,176.76923,942.92308,326.30769,451.15385,887.46154,315.69231,Literary
26,26,141.31579,31.99659,114,62,32.27762,0.13826,0.09563,0.76637,382,641.05263,132.36842,711.21053,427.31579,386.89474,772.52632,336.36842,Literary
27,27,234.66667,49.22176,44,22,25.97792,0.164,0.10442,0.7315,142,601.41667,151.41667,802.41667,428.83333,466.91667,848.5,271.91667,Literary
28,28,126.15789,32.06701,54,35,35.57901,0.14632,0.096,0.75758,217,396.47368,109.26316,678.26316,390.05263,385.21053,632.78947,282.63158,Literary
29,29,106,39.21579,11,5,24.04,0.06,0.093,0.846,55,110,78,1104.5,175,393.5,595,307.5,Literary
30,30,196.22222,47.84461,18,7,24.76895,0.122,0.11067,0.76744,52,431.77778,131.22222,989.33333,430.33333,320.55556,820,266.22222,Literary
31,31,154.5,40.05876,19,4,21.67916,0.1865,0.077,0.737,57,304,133,869,406,410.5,790.5,248.5,Literary
32,32,108.57143,37.98354,94,50,33.68306,0.09862,0.08767,0.81376,369,588,127.85714,866.85714,417.33333,354.61905,769.28571,264.95238,Literary
33,33,236,46.69891,20,16,22.36127,0.12667,0.10767,0.76633,76,542,190,893.33333,378.66667,293,956,251.66667,Literary
34,34,311.75,59.02097,12,9,19.17134,0.11912,0.10088,0.78,52,503.125,152.75,723.5,576.875,431.625,906.625,250.5,Literary
35,35,138.875,54.56589,41,40,21.80453,0.1155,0.08825,0.79625,154,451.375,176.875,790.5,609.25,400.125,1020.125,268.625,Literary
36,36,232,49.84158,27,18,26.22234,0.13425,0.073,0.79325,90,546.5,122.25,879,447.75,275.25,842.5,283.75,Literary
37,37,198.14286,44.17666,15,8,26.23333,0.09243,0.08514,0.82229,56,59.14286,111.14286,945.42857,395,336.28571,790.14286,220.14286,Literary
38,38,216.75,49.50149,14,6,20.4354,0.17825,0.109,0.7125,50,357,192.25,916.5,368.5,279.25,1088.25,281.75,Literary
39,39,188,44.05013,18,6,28.90579,0.09189,0.09044,0.81756,55,316.11111,117.33333,995.88889,407.22222,305.66667,769.33333,233.55556,Literary
40,40,174.41667,49.17217,40,25,26.33541,0.11492,0.07292,0.812,134,448.75,187.16667,826.08333,476.58333,261.33333,1052.66667,249.91667,Literary
41,41,253.15385,51.27041,29,8,21.465,0.11508,0.09031,0.79446,118,541.92308,142.15385,874.30769,447.84615,396,898.69231,225.07692,Literary
42,42,142.71429,45.23815,26,12,28.33428,0.13029,0.08657,0.783,93,386.14286,169.57143,882.28571,439.14286,303.28571,921,310.42857,Literary
43,43,222,45.77032,18,8,21.76264,0.131,0.1045,0.7647,90,487.5,199.9,942,421.6,301.8,846.1,226.6,Literary
44,44,81.16667,36.08707,30,17,26.91048,0.14767,0.06217,0.79017,116,156,136.33333,665.16667,490,407,743.16667,269.66667,Literary
45,45,160.4,42.6671,99,37,25.67915,0.11445,0.06765,0.81795,407,455.7,134.3,825.1,446.05,328.7,803.4,249.05,Literary
46,46,73.66667,23.82721,62,14,33.84999,0.11467,0.10667,0.77889,220,340.22222,98.55556,777.88889,412.11111,365.88889,462.66667,225.55556,Literary
47,47,162.625,32.24912,28,19,36.30894,0.149,0.1005,0.7505,115,385.625,127.375,830,401.125,344.625,692.75,285.375,Literary
48,48,224.66667,40.5621,32,31,25.68648,0.1695,0.08933,0.74133,138,423.33333,151,794.16667,383.16667,370.33333,842,312.66667,Literary
49,49,218.4,41.86957,54,28,26.958,0.1393,0.067,0.7935,175,505.5,126.7,804.5,467.8,389.2,795.6,261.9,Literary
50,50,79,35.95591,10,1,19.0081,0.1065,0.055,0.8385,26,150,98.5,894.5,324,380,650,252,Christmas Stories
51,51,277,52.95238,20,13,23.41964,0.12833,0.09217,0.77925,86,680.33333,136.25,928.66667,490,277.83333,1085.08333,263.25,Love and Romance
52,52,201.47619,47.4487,57,36,28.20851,0.10652,0.08419,0.80924,240,546.42857,118,864.57143,413.47619,291.66667,706.04762,236.28571,Literary
53,53,118.25,43.48494,71,20,29.3075,0.11625,0.0895,0.79412,213,429.625,155.25,829.25,390.875,400.125,715.125,256.875,Love and Romance
54,54,234.66667,50.24696,38,11,29.01141,0.10783,0.07517,0.81733,85,465.33333,98.66667,943.66667,418.16667,325.5,783.16667,263.16667,Sea and Adventure
55,55,157.14286,51.98548,63,21,24.0268,0.13243,0.084,0.78336,207,491,139.5,810.21429,535.5,354.42857,947.35714,239.78571,Literary
56,56,86,46.95503,6,2,20.77358,0.061,0.047,0.891,22,174,138,821,399,359,872,208,Literary
57,57,227.7619,45.14656,43,19,26.22728,0.113,0.10919,0.77776,130,502.2381,114,884.61905,417.09524,348.19048,775.38095,238.14286,Literary
58,58,182.17647,43.20553,77,24,28.42373,0.13412,0.07118,0.79465,258,576.11765,132.94118,800.58824,429.58824,295.11765,783.70588,244.88235,Literary
